station_id,month,humidity,pressure_hpa,wind_speed_kmh,cloud_cover_pct,uv_index,season,region,temperature_max
0,7,,994.2824583571812,75.4444884457894,80.50029237453802,5.919807866191375,winter,west,35.3056273483343
1,12,47.9094686048474,1001.840525329805,40.906204225148926,80.79407897364938,3.775979567946723,fall,south,9.546231373761382
2,2,78.85354443565683,,78.09949645661634,51.5325561042142,4.059739637749161,fall,south,23.2806852578938
3,12,35.51495652810581,1019.1081018032183,6.466881911648175,28.58013800881416,4.119464421466706,winter,center,27.55145257503574
4,4,66.00603155793924,994.7064321120199,48.58846655960237,5.393070238165643,10.861894892051133,fall,north,25.98631889601999
5,6,73.71363160870769,1011.6563470118236,30.118926750181807,38.33688807855182,6.9603189986786065,winter,south,39.63409845229182
6,10,,,64.15209655886459,40.84732054199986,7.417563235549429,winter,west,38.17795453225009
7,5,33.30879763998409,997.9869457318539,13.962225291522277,4.5275193902445166,3.6295980092400417,spring,west,33.13270869825582
8,7,46.498162074362284,,69.73082193501251,4.875771072716805,7.479094272804245,spring,west,-8.697793489920844
9,1,69.44598089253554,995.6836009960701,43.515312061079854,99.91761150650714,1.3526961237590904,summer,center,19.29076678995246
10,10,63.73593976682568,1009.5614095247831,72.17720637727906,65.23691115879878,0.5690215518215274,summer,north,20.418580906733993
11,7,39.003735798320164,1015.8370091310682,38.1722819071365,23.451020166982396,9.352104814896657,winter,south,-0.9921221208828044
12,4,55.957847448287225,1011.5314010207089,34.43970221835305,43.4947552225142,0.09785386088978143,winter,east,-1.577651164464207
13,10,70.15783791447122,1019.3399285719071,63.115737403546355,97.41861932592553,10.766443184038264,spring,east,33.32056480852
14,4,55.36708039620767,1026.891889364608,78.7322399944897,89.76776081085488,9.097033284009589,summer,south,43.29672361445999
15,6,67.991063956447,1037.813362741805,29.578063412194304,84.4231037608741,8.637320552590086,winter,south,27.74089863617985
16,2,88.0461571496206,1004.2100581874396,77.51462954529879,39.24046643347781,0.5289183570280115,spring,north,8.643471386416547
17,5,70.98388933857751,1022.4273603539913,74.32211102123355,49.30230187317426,2.281831928276722,winter,north,28.44579422735434
18,3,53.49748998480157,1024.8107998335079,14.215406860958488,67.6689351831066,9.34852194204733,spring,east,5.619455960942548
19,4,41.235154183205886,1004.6360374506244,48.708129347563805,6.0802712958056055,4.7574429282053385,summer,east,30.48186549173206
20,10,50.75763993430399,990.0745041754418,56.389179645179404,55.559611692072345,6.9021472707338125,winter,center,5.212363824106318
21,4,60.66395841417462,,75.42429433033337,27.145160453010153,1.345106386920602,summer,south,32.31680955831175
22,6,83.47256457003475,1004.9200611508438,53.252593357260274,87.96511733349222,2.0496995054561244,summer,center,42.490494223256874
23,12,76.53383654836136,,10.67166043613545,6.421443731219101,5.46994704015621,summer,south,38.62250648516492
24,12,49.08879603692246,1034.585553522258,39.829407902829956,67.9181533021365,8.354132345045686,fall,north,39.629928962884726
25,9,85.45301379040944,1019.2581469945454,39.489586716489185,87.00885023275033,5.938429247788797,summer,north,37.39013213824205
26,7,58.25459312494545,,40.01809514789967,22.73185251609081,1.1756808642594672,winter,south,29.435137504006523
27,4,71.62553053213381,1028.663850482441,76.68658288873978,89.5448239414126,9.528046863663635,summer,north,15.158310445806961
28,2,36.43243850721528,991.5173003831236,27.994991985780384,87.2195468024335,1.5362480053156395,summer,center,32.67383562496428
29,12,36.27261350597649,1025.3482547827812,17.901691742257277,1.851721767021075,4.836235332635186,fall,center,1.1527527638823996
30,7,42.11444685176702,1008.7121916739235,41.766960176915816,70.74955673371774,6.4553442078891035,fall,center,16.087074232055265
31,2,83.06698042129761,994.5426356752129,51.293673917202256,0.11996835868286482,3.5106445263604957,fall,east,23.549541440221365
32,8,70.78868768907502,,75.1285642739207,50.33639655536645,4.598595824722791,fall,north,20.626282397717905
33,10,80.95417941686608,,46.561264051763665,43.66670521756527,9.75660939909284,winter,south,26.270358780127914
34,8,68.66617615233105,1000.3595584040501,21.426671223327077,20.32528361145648,4.995492717447399,winter,east,7.695383892601411
35,12,54.392543860532186,1021.5045099892671,74.38197562464535,32.494264457560604,5.931718237557251,winter,east,1.574552168586088
36,1,60.994691647499806,1004.9081545328712,39.33802276899812,80.62153310270436,10.675380673548917,fall,east,1.9820071931427696
37,7,65.60661106535437,,54.06406919468207,31.645208740449014,3.0358145007695505,fall,west,37.619902701105886
38,6,81.72707909445768,,38.08311283803215,14.90385835335558,9.842692066765629,summer,south,3.0243335819725763
39,1,56.2911699695475,1000.9357712284402,17.35840211375961,69.85119903183107,3.9804107357164122,winter,west,2.613596339710841
40,8,83.53440659799858,1031.4943437137156,55.40416357684485,44.854410076037624,3.4324511915026568,summer,north,13.643997951231185
41,11,66.82301630415523,1022.8826105436622,61.6504386473395,79.8939490963134,9.69418113893833,spring,center,24.99656534361068
